# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
141.532,-133.432,5.73,5.753,-0.6471003733947097
142.33,-134.035,5.73,5.749,-0.6463022219153961
143.128,-134.637,5.729,5.748,-0.646302221915379
143.926,-135.239,5.728,5.747,-0.6464981028172847
144.725,-135.842,5.731,5.747,-0.6463022219153562
145.523,-136.444,5.735,5.746,-0.646302221915379
146.321,-137.046,5.737,5.745,-0.6457002256000756
147.12,-137.648,5.737,5.742,-0.6471003733947097
147.918,-138.251,5.736,5.738,-0.646302221915379
148.716,-138.853,5.736,5.732,-0.6457002256000927
149.515,-139.455,5.734,5.721,-0.6463022219153562
150.313,-140.057,5.731,5.711,-0.646302221915379
151.111,-140.659,5.727,5.705,-0.6464981028172847
151.91,-141.262,5.724,5.696,-0.646302221915379
152.708,-141.864,5.719,5.685,-0.646302221915379
153.506,-142.466,5.713,5.679,-0.6457002256000756
154.305,-143.068,5.707,5.676,-0.6463022219153562
155.103,-143.67,5.703,5.674,-0.6457002256000927
155.902,-144.272,5.702,5.673,-0.646302221915379
156.7,-144.874,5.7,5.671,-0.646302221915379
157.498,-145.476,5.699,5.674,-0.6464981028172847
158.297,-146.079,5.7,5.682,-0.646302221915379
159.095,-146.681,5.704,5.691,-0.6457002256000528
159.894,-147.283,5.706,5.696,-0.646302221915379
160.692,-147.885,5.705,5.702,-0.646302221915379
161.49,-148.487,5.71,5.711,-0.6457002256000927
162.289,-149.089,5.715,5.722,-0.6471003733947097
163.087,-149.692,5.717,5.734,-0.646302221915379
163.885,-150.294,5.723,5.747,-0.6457002256000528
164.684,-150.896,5.729,5.762,-0.646302221915379
165.482,-151.498,5.732,5.773,-0.6471003733947097
166.28,-152.101,5.736,5.782,-0.646302221915379
167.078,-152.703,5.741,5.791,-0.6471003733947097
167.876,-153.306,5.744,5.797,-0.6463022219153562
168.674,-153.908,5.744,5.798,-0.6471003733947097
169.472,-154.511,5.745,5.799,-0.6471003733947097
170.27,-155.114,5.745,5.799,-0.6471003733947097
171.068,-155.717,5.743,5.796,-0.6463022219153562
171.866,-156.319,5.738,5.793,-0.6471003733947268
172.664,-156.922,5.734,5.788,-0.6471003733947097
173.462,-157.525,5.735,5.777,-0.647100373394687
174.26,-158.128,5.741,5.764,-0.6477036055659567
175.057,-158.731,5.744,5.754,-0.6471003733947097
175.855,-159.334,5.747,5.749,-0.6471003733947097
176.653,-159.937,5.75,5.749,-0.647100373394687
177.451,-160.54,5.759,5.748,-0.6471003733947097
178.249,-161.143,5.766,5.746,-0.6477036055659567
179.046,-161.746,5.768,5.742,-0.646302221915379
179.844,-162.348,5.772,5.742,-0.647100373394687
180.642,-162.951,5.778,5.746,-0.6471003733947097
181.44,-163.554,5.784,5.749,-0.646302221915379
182.238,-164.156,5.79,5.748,-0.647100373394687
183.036,-164.759,5.795,5.746,-0.6457002256000756
183.835,-165.361,5.797,5.746,-0.646302221915379
184.633,-165.963,5.799,5.747,-0.646302221915379
185.431,-166.565,5.802,5.746,-0.6457002256000927
186.23,-167.167,5.808,5.741,-0.6457002256000756
187.029,-167.769,5.815,5.74,-0.646302221915379
187.827,-168.371,5.812,5.744,-0.6457002256000756
188.626,-168.973,5.809,5.746,-0.6449013879340763
189.425,-169.574,5.811,5.745,-0.6449013879340934
190.224,-170.175,5.808,5.743,-0.6457002256000528
191.023,-170.777,5.801,5.742,-0.6449013879340763
191.822,-171.378,5.791,5.743,-0.6443006289107671
192.622,-171.979,5.784,5.744,-0.6441015891054274
193.421,-172.579,5.781,5.744,-0.6449013879340763
194.22,-173.18,5.777,5.746,-0.6443006289107444
195.02,-173.781,5.773,5.751,-0.64350110879329
195.82,-174.381,5.771,5.754,-0.6449013879340763
196.619,-174.982,5.769,5.76,-0.643501108793273
197.419,-175.582,5.77,5.764,-0.6443006289107615
198.219,-176.183,5.775,5.763,-0.6441015891054103
199.018,-176.783,5.776,5.761,-0.6435011087932958
199.818,-177.383,5.77,5.76,-0.6443006289107615
200.618,-177.984,5.765,5.764,-0.643501108793273
201.418,-178.584,5.761,5.766,-0.6441015891054103
202.217,-179.184,5.755,5.763,-0.6443006289107615
203.017,-179.785,5.744,5.764,-0.643501108793273
203.817,-180.385,5.727,5.764,-0.6435011087933128
204.617,-180.985,5.711,5.762,-0.6449013879340763
205.416,-181.586,5.698,5.763,-0.643501108793273
206.216,-182.186,5.692,5.764,-0.6443006289107615
207.016,-182.787,5.69,5.763,-0.6441015891054103
207.815,-183.387,5.689,5.759,-0.6443006289107444
208.615,-183.988,5.688,5.755,-0.6441015891054274
209.414,-184.588,5.689,5.753,-0.6443006289107444
210.214,-185.189,5.692,5.748,-0.6449013879340763
211.013,-185.79,5.698,5.741,-0.64350110879329
211.813,-186.39,5.705,5.734,-0.644901387934099
212.612,-186.991,5.713,5.725,-0.6443006289107444
213.412,-187.592,5.722,5.719,-0.6441015891054103
214.211,-188.192,5.73,5.715,-0.6443006289107615
215.011,-188.793,5.739,5.712,-0.6449013879340763
215.81,-189.394,5.752,5.711,-0.643501108793273
216.61,-189.994,5.764,5.709,-0.6449013879340934
217.409,-190.595,5.772,5.709,-0.643501108793273
218.209,-191.195,5.776,5.711,-0.6443006289107615
219.009,-191.796,5.776,5.711,-0.6449013879340763
219.808,-192.397,5.776,5.71,-0.6435011087932958
220.608,-192.997,5.777,5.711,-0.6449013879340763
221.407,-193.598,5.778,5.715,-0.6449013879340934
222.206,-194.199,5.776,5.718,-0.6443006289107444
223.006,-194.8,5.77,5.721,-0.6449013879340763
223.805,-195.401,5.765,5.726,-0.6449013879340763
224.604,-196.002,5.763,5.735,-0.6457002256000927
225.403,-196.604,5.762,5.746,-0.6463022219153562
226.201,-197.206,5.758,5.759,-0.6471003733947097
226.999,-197.809,5.753,5.771,-0.6471003733947097
227.797,-198.412,5.751,5.784,-0.6485010671272325
228.594,-199.016,5.753,5.8,-0.6499023016177212
229.39,-199.621,5.752,5.818,-0.6513040716735827
230.185,-200.227,5.751,5.84,-0.6520991772551149
230.98,-200.834,5.744,5.865,-0.6549028951434946
231.773,-201.443,5.732,5.892,-0.6563055310207413
232.565,-202.053,5.725,5.917,-0.6592903222672656
233.356,-202.666,5.72,5.941,-0.6619211317506488
234.144,-203.28,5.709,5.966,-0.6656885907766813
234.931,-203.898,5.683,5.997,-0.669116001548607
235.715,-204.518,5.656,6.031,-0.6734921136501519
236.497,-205.142,5.631,6.067,-0.6784868276218236
237.276,-205.77,5.6,6.107,-0.6833358235602763
238.051,-206.401,5.56,6.152,-0.6905134901689409
238.822,-207.038,5.509,6.203,-0.6969144120345305
239.589,-207.68,5.451,6.262,-0.7047225834338491
240.351,-208.328,5.392,6.331,-0.7131835322447377
241.107,-208.982,5.322,6.411,-0.7224057818782447
241.857,-209.643,5.239,6.501,-0.7316256881339017
242.601,-210.311,5.151,6.603,-0.7436672736812108
243.337,-210.988,5.062,6.711,-0.755703923790538
244.065,-211.674,4.952,6.828,-0.7698407199356333
244.783,-212.37,4.829,6.953,-0.7839837371836552
245.491,-213.076,4.708,7.093,-0.7995414918444009
246.188,-213.793,4.572,7.25,-0.8165055231024353
246.873,-214.522,4.433,7.417,-0.8349326806566049
247.544,-215.263,4.293,7.595,-0.855446373320231
248.2,-216.018,4.148,7.777,-0.8760580505981825
248.84,-216.786,3.986,7.96,-0.8980859972130297
249.463,-217.568,3.82,8.135,-0.9228987635141535
250.067,-218.366,3.661,8.305,-0.9489177987343769
250.649,-219.178,3.497,8.487,-0.9758667074158457
251.21,-220.007,3.338,8.656,-1.0049876367806307
251.746,-220.851,3.184,8.817,-1.0355225787047522
252.256,-221.711,3.031,8.974,-1.066902006018935
252.739,-222.587,2.893,9.122,-1.1013296250165605
253.191,-223.478,2.769,9.261,-1.1353165787611577
253.613,-224.385,2.662,9.386,-1.1733896272454754
254.0,-225.307,2.569,9.492,-1.2101536568390545
254.353,-226.243,2.497,9.57,-1.2503107938613516
254.668,-227.192,2.432,9.612,-1.290161827917759
254.945,-228.153,2.386,9.623,-1.332370967912366
255.181,-229.124,2.36,9.609,-1.3745772369904796
255.376,-230.105,2.364,9.578,-1.4192869021539698
255.527,-231.094,2.369,9.554,-1.4635633714815348
255.634,-232.088,2.372,9.536,-1.5087518149723411
255.696,-233.086,2.366,9.509,-1.554797691918562
255.712,-234.086,2.349,9.498,-1.6008173346520669
255.682,-235.085,2.344,9.491,-1.6488719982907072
255.604,-236.082,2.332,9.485,-1.6950273748871854
255.48,-237.075,2.299,9.484,-1.7436725715322126
255.308,-238.06,2.279,9.488,-1.7905498709420193
255.09,-239.036,2.254,9.504,-1.8381013766096401
254.826,-240.0,2.228,9.52,-1.8859077122224817
254.516,-240.951,2.221,9.518,-1.9336629367110245
254.161,-241.886,2.223,9.513,-1.9812027630589766
253.762,-242.803,2.214,9.492,-2.027732627164386
253.321,-243.7,2.206,9.486,-2.0746906475708444
252.838,-244.576,2.211,9.49,-2.1213372861932025
252.315,-245.428,2.214,9.491,-2.1662863112216315
251.754,-246.256,2.232,9.481,-2.2106967310053545
251.157,-247.058,2.258,9.471,-2.2549076022882932
250.525,-247.833,2.291,9.454,-2.298185989433306
249.86,-248.58,2.319,9.422,-2.34063704673055
249.164,-249.298,2.356,9.38,-2.3809594190818664
248.44,-249.987,2.415,9.317,-2.4212583301687496
247.688,-250.647,2.48,9.246,-2.459664335131521
246.912,-251.277,2.557,9.172,-2.495892427989718
246.113,-251.879,2.637,9.094,-2.532505494682014
245.293,-252.451,2.749,9.007,-2.5671889896537943
244.454,-252.994,2.867,8.912,-2.599630209232474
243.597,-253.51,2.992,8.789,-2.6305108806500406
242.725,-253.999,3.137,8.653,-2.660512747130328
241.838,-254.462,3.306,8.502,-2.6891302604349985
240.939,-254.899,3.471,8.34,-2.7159580444656153
240.028,-255.312,3.639,8.186,-2.7410332545351737
239.107,-255.702,3.819,8.036,-2.7635012819997695
238.178,-256.071,3.997,7.88,-2.7872689990599397
237.24,-256.418,4.163,7.724,-2.8075126575923983
236.295,-256.746,4.313,7.565,-2.8264812681622082
235.344,-257.056,4.446,7.405,-2.8451531483359673
234.388,-257.348,4.57,7.254,-2.861919180364483
233.427,-257.624,4.699,7.106,-2.876480854799883
232.462,-257.886,4.828,6.962,-2.8920057281528484
231.493,-258.133,4.944,6.831,-2.9043751734560046
230.521,-258.368,5.052,6.717,-2.9167422443171986
229.546,-258.591,5.144,6.619,-2.9279144441903258
228.569,-258.803,5.237,6.521,-2.9383171144655806
227.589,-259.005,5.333,6.431,-2.947335569115856
226.608,-259.198,5.41,6.351,-2.955569152508508
225.625,-259.383,5.481,6.28,-2.9626336079416102
224.641,-259.561,5.548,6.223,-2.9697017662183565
223.656,-259.732,5.605,6.178,-2.976772923531738
222.67,-259.896,5.664,6.134,-2.9810431553106884
221.682,-260.056,5.707,6.097,-2.9858233292304575
220.695,-260.211,5.738,6.066,-2.9910714666956113
219.706,-260.361,5.769,6.038,-2.9940379507235924
218.717,-260.508,5.791,6.017,-2.9971510752151453
217.727,-260.652,5.812,6.003,-3.0011100251994103
216.737,-260.792,5.832,5.993,-3.003091171673853
215.747,-260.93,5.848,5.989,-3.005209469304233
214.756,-261.066,5.862,5.988,-3.006200032141814
213.765,-261.201,5.866,5.989,-3.009173317736258
212.774,-261.333,5.875,5.987,-3.0093052522960075
211.782,-261.465,5.888,5.977,-3.0111568206156494
210.791,-261.595,5.898,5.965,-3.0112868242550723
209.799,-261.725,5.904,5.953,-3.013141356234814
208.808,-261.853,5.906,5.941,-3.012277997291881
207.816,-261.982,5.911,5.928,-3.0132694259040114
206.824,-262.11,5.919,5.913,-3.013141356234814
205.833,-262.238,5.925,5.902,-3.012277997291881
204.841,-262.367,5.936,5.896,-3.013269425904015
203.849,-262.495,5.955,5.887,-3.012277997291881
202.857,-262.624,5.97,5.89,-3.0121489602590246
201.866,-262.753,5.977,5.895,-3.0122779972918847
200.874,-262.882,5.998,5.894,-3.0111568206157022
199.883,-263.012,6.014,5.892,-3.010295908641467
