# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
0.0,0.0,5,5,1.5707963267948966
1.22e-16,2.0,5,5,1.5707963267948966
2.45e-16,4.0,5,5,1.5707963267948966
3.67e-16,6.0,5,5,1.5707963267948966
4.9e-16,8.0,5,5,1.5707963267948966
6.12e-16,10.0,5,5,1.5707963267948966
7.35e-16,12.0,5,5,1.5707963267948966
8.57e-16,14.0,5,5,1.5707963267948966
9.8e-16,16.0,5,5,1.5707963267948966
1.1e-15,18.0,5,5,1.5707963267948966
1.22e-15,20.0,5,5,1.5707963267948966
1.35e-15,22.0,5,5,1.5707963267948966
1.47e-15,24.0,5,5,1.5707963267948966
1.59e-15,26.0,5,5,1.5707963267948966
1.71e-15,28.0,5,5,1.5707963267948966
1.84e-15,30.0,5,5,1.5707963267948966
1.96e-15,32.0,5,5,1.5707963267948966
2.08e-15,34.0,5,5,1.5707963267948966
2.2e-15,36.0,5,5,1.5707963267948966
2.33e-15,38.0,5,5,1.5707963267948966
2.45e-15,40.0,5,5,1.5707963267948966
2.57e-15,42.0,5,5,1.5707963267948966
2.69e-15,44.0,5,5,1.5707963267948966
2.82e-15,46.0,5,5,1.5707963267948966
2.94e-15,48.0,5,5,1.5707963267948966
3.06e-15,50.0,5,5,1.5707963267948966
3.18e-15,52.0,5,5,1.5707963267948966
3.31e-15,54.0,5,5,1.5707963267948966
3.43e-15,56.0,5,5,1.5707963267948966
3.55e-15,58.0,5,5,1.5707963267948966
3.67e-15,60.0,5,5,1.5707963267948966
3.8e-15,62.0,5,5,1.5707963267948966
3.92e-15,64.0,5,5,1.5707963267948966
4.04e-15,66.0,5,5,1.5707963267948966
4.16e-15,68.0,5,5,1.5707963267948966
4.29e-15,70.0,5,5,1.5707963267948966
4.41e-15,72.0,5,5,1.5707963267948966
4.53e-15,74.0,5,5,1.5707963267948966
4.65e-15,76.0,5,5,1.5707963267948966
4.78e-15,78.0,5,5,1.5707963267948966
4.9e-15,80.0,5,5,1.5707963267948966
5.02e-15,82.0,5,5,1.5707963267948966
5.14e-15,84.0,5,5,1.5707963267948966
5.27e-15,86.0,5,5,1.5707963267948966
5.39e-15,88.0,5,5,1.5707963267948966
5.51e-15,90.0,5,5,1.5707963267948966
5.63e-15,92.0,5,5,1.5707963267948966
5.76e-15,94.0,5,5,1.5707963267948966
5.88e-15,96.0,5,5,1.5707963267948966
6e-15,98.0,5,5,1.5707963267948966
6.12e-15,100.0,5,5,1.6207132261714192
-0.062448,101.25,5,5,1.7214525566215317
-0.24917,102.48,5,5,1.820917570900324
-0.55829,103.69,5,5,1.9190875362167046
-0.98674,104.87,5,5,2.022560006185203
-1.5302,105.99,5,5,2.118808747512818
-2.1833,107.06,5,5,2.223095333365823
-2.9395,108.05,5,5,2.3176630257336295
-3.7912,108.97,5,5,2.423585320127221
-4.7299,109.79,5,5,2.518695483787357
-5.7462,110.52,5,5,2.621969715029574
-6.83,111.14,5,5,2.7210927377072367
-7.9705,111.65,5,5,2.82384471246343
-9.1563,112.04,5,5,2.915758853698545
-10.375,112.32,5,5,3.021305904112284
-11.616,112.47,5,5,3.141592653589793
-13.616,112.47,5,5,3.141592653589793
